NO POLISI;;OBJ;;NO RANGKA;;NO MESIN
KH6557QU;;NMC;;0;;JMG1E1081516
KH3262QU;;NMC;;0;;JME1E1014246
KH6791QT;;NMC;;0;;JM91E3595944
KH2553NV;;REFI;;0;;KF41E1035090
KH5292QP;;NMC;;MH1JBK310PK455910;;JBK3E1454368
KH3432QS;;REFI;;0;;JM91E3398036
KH2398QK;;REFI;;0;;JBK3E1377678
KH4788QK;;REFI;;0;;E3R5E0310090
KH5521QN;;REFI;;0;;JM02E1902115
KH3275QU;;NMC;;0;;KD11E1511173
KH6292QU;;NMC;;0;;JM04E1820822
KH5508QR;;NMC;;MH1KC0213PK224717;;KC02E1224253
KH4958PK;;REFI;;MH1JM0410PK142403;;JM04E1142321
KH5088QR;;NMC;;MH1JM0313PK443071;;JM03E1443155
AD4296ASF;;REFI;;0;;KB11E1160482
KH5129NW;;REFI;;MH1JM8118LK050663;;JM81E1050891
KH3897QS;;NMC;;MH1JM0415PK745203;;JM04E1745223
KH5936QT;;REFI;;0;;JM81E3087183
KH3322QB;;REFI;;MH3SE8860JJ115237;;E3R2E2054552
KH3181QV;;NMC;;0;;KB22E1050826
KH2161QR;;NMC;;MH1KCB114PK048256;;KCB1E1048231
KH6587UG;;NMC;;0;;JBK3E1547987
KH2366QV;;NMC;;0;;JBK3E1540035
KH6077QD;;REFI;;0;;KCA2E1057285
KH2308NL;;REFI;;0;;JM31E3702456
KH3726QK;;REFI;;0;;KF41E2374132
KH5039QF;;REFI;;MH1JM313XLK204326;;JM31E3199420
KH2419QO;;REFI;;MH1JM0311NK027520;;JM03E1026552
KH2895LU;;REFI;;MH1KB2119GK026160;;KB21E1024876
KH5742QD;;REFI;;MH1JBK316KK296299;;JBK3E1294523
KH6148QP;;NMC;;MH1KFA110PK149179;;KFA1E1149159
KH6423QL;;NMC;;MH1KCD213NK019189;;KCD2E1019221
KH2489QQ;;NMC;;MH1KD1114PK402008;;KD11E1401235
KH4049QN;;NMC;;MH1KCD213NK026062;;KCD2E1026128
KH2209QV;;NMC;;0;;KC02E1270060
KH6165QU;;NMC;;0;;JMF2E1051398
KH2963QT;;NMC;;MH1JBP123RK028443;;JBP1E2028743
KH5821QS;;NMC;;MH1KCB118PK046526;;KCB1E1046531
KH5246QT;;NMC;;0;;JM81E3048599
KH2085QP;;NMC;;MH1JBK31XNK449206;;JBK3E1447692
KH3415QA;;REFI;;MH1KF2118JK075491;;KF21E1075644
KH4741QM;;NMC;;MH1JBP116NK904729;;JBP1E1900793
KH2623NO;;NMC;;MH1KB1116PK339581;;KB11E1339091
KH4014QL;;REFI;;MH1KD111XNK275892;;KD11E1275211
KH4417QP;;NMC;;MH1KB1114PK328613;;KB11E1328137
KH5344LQ;;REFI;;MH1KC8113GK069702;;KC81E1069212
KH5483LU;;REFI;;MH1KC9114HK140803;;KC91E1133774
KH3794QI;;REFI;;MH1JM9113MK429190;;JM91E1429096
KH6560QQ;;NMC;;MH1JBK310PK481195;;JBK3E1479411
KH2842QJ;;REFI;;MH1JM0114MK200822;;JM01E1199624
KH5464QJ;;REFI;;0;;JM01E1266366
KH6182QJ;;REFI;;MH3SG6410MJ054518;;G3P2E0073840
KH5217QI;;REFI;;MH1JM0110MK142613;;JM01E1137939
KH4329QJ;;REFI;;MH1JM0214MK269878;;JM02E1269446
KH2609QG;;REFI;;MH1JM3137LK337545;;JM31E3328422
DA6436UAU;;REFI;;0;;JM31E1593568
KH5073QJ;;REFI;;MH1KF4128MK295075;;KF41E2300191
KH2092QD;;REFI;;MH1KCA213JK030119;;KCA2E1028779
KH5376QQ;;NMC;;MH1JM0314PK368039;;JM03E1368160
KH4650QL;;NMC;;MH1JM021XNK616373;;JM02E1612414
KH3486QK;;REFI;;MH1JM9116MK790462;;JM91E1790024
KH5266YC;;REFI;;MH1JM3116HK161836;;JM31E1165448
KH4704NL;;REFI;;0;;KB11E1291504
KH3087QK;;REFI;;MH1JM8116MK727632;;JM81E1729193
KH3651NV;;REFI;;MH1JM3113JK930296;;JM31E1924178
KH6358NU;;REFI;;MH1JM311XJK553434;;JM31E1548499
KH2307QJ;;REFI;;MH1JM0113MK190123;;JM01E1188253
KH6058Q;;REFI;;MH1JM5117JK061522;;JM51E1061544
KH6553QC;;REFI;;MH1JM5117KK200923;;JM51E1200774
KH4337LS;;REFI;;MH1KC8217GK088462;;KC82E1089774
KH3444NW;;REFI;;MH1JFZ215KK704516;;JFZ2E1703034
KH4891YH;;REFI;;MH1JM1120KK031930;;JM11E2014933
KH3096NM;;REFI;;MH1KC0217MK161102;;KC02E1160520
KH3957LR;;REFI;;MH3RG1810GK248963;;G3E7E0250132
KH2913YG;;REFI;;0;;KB21E1074734
KH6151QL;;NMC;;MH1JBK319NK408565;;JBK3E1406720
KH4181LV;;REFI;;MH1JM3113HK455176;;JM31E1457698
KH3289QC;;REFI;;MH1JM3126KK384684;;JM31E2380300
