platmotor;NORANGKA;NOMESIN;FINANCE;TYPEUNIT
KH6557QU;0;JMG1E1081516;FIF;NMC
KH3262QU;0;JME1E1014246;FIF;NMC
KH6791QT;0;JM91E3595944;FIF;NMC
KH2553NV;0;KF41E1035090;FIF;REFI
KH5292QP;MH1JBK310PK455910;JBK3E1454368;FIF;NMC
KH3432QS;0;JM91E3398036;FIF;REFI
KH2398QK;0;JBK3E1377678;FIF;REFI
KH4788QK;0;E3R5E0310090;FIF;REFI
KH5521QN;0;JM02E1902115;FIF;REFI
KH3275QU;0;KD11E1511173;FIF;NMC
KH6292QU;0;JM04E1820822;FIF;NMC
KH5508QR;MH1KC0213PK224717;KC02E1224253;FIF;NMC
KH4958PK;MH1JM0410PK142403;JM04E1142321;FIF;REFI
KH5088QR;MH1JM0313PK443071;JM03E1443155;FIF;NMC
AD4296ASF;0;KB11E1160482;FIF;REFI
KH5129NW;MH1JM8118LK050663;JM81E1050891;FIF;REFI
KH3897QS;MH1JM0415PK745203;JM04E1745223;FIF;NMC
KH5936QT;0;JM81E3087183;FIF;REFI
KH3322QB;MH3SE8860JJ115237;E3R2E2054552;FIF;REFI
KH3181QV;0;KB22E1050826;FIF;NMC
KH2161QR;MH1KCB114PK048256;KCB1E1048231;FIF;NMC
KH6587UG;0;JBK3E1547987;FIF;NMC
KH2366QV;0;JBK3E1540035;FIF;NMC
KH6077QD;0;KCA2E1057285;FIF;REFI
KH2308NL;0;JM31E3702456;FIF;REFI
KH3726QK;0;KF41E2374132;FIF;REFI
KH5039QF;MH1JM313XLK204326;JM31E3199420;FIF;REFI
KH2419QO;MH1JM0311NK027520;JM03E1026552;FIF;REFI
KH2895LU;MH1KB2119GK026160;KB21E1024876;FIF;REFI
KH5742QD;MH1JBK316KK296299;JBK3E1294523;FIF;REFI
KH6148QP;MH1KFA110PK149179;KFA1E1149159;FIF;NMC
KH6423QL;MH1KCD213NK019189;KCD2E1019221;FIF;NMC
KH2489QQ;MH1KD1114PK402008;KD11E1401235;FIF;NMC
KH4049QN;MH1KCD213NK026062;KCD2E1026128;FIF;NMC
KH2209QV;0;KC02E1270060;FIF;NMC
KH6165QU;0;JMF2E1051398;FIF;NMC
KH2963QT;MH1JBP123RK028443;JBP1E2028743;FIF;NMC
KH5821QS;MH1KCB118PK046526;KCB1E1046531;FIF;NMC
KH5246QT;0;JM81E3048599;FIF;NMC
KH2085QP;MH1JBK31XNK449206;JBK3E1447692;FIF;NMC
KH3415QA;MH1KF2118JK075491;KF21E1075644;FIF;REFI
KH4741QM;MH1JBP116NK904729;JBP1E1900793;FIF;NMC
KH2623NO;MH1KB1116PK339581;KB11E1339091;FIF;NMC
KH4014QL;MH1KD111XNK275892;KD11E1275211;FIF;REFI
KH4417QP;MH1KB1114PK328613;KB11E1328137;FIF;NMC
KH5344LQ;MH1KC8113GK069702;KC81E1069212;FIF;REFI
KH5483LU;MH1KC9114HK140803;KC91E1133774;FIF;REFI
KH3794QI;MH1JM9113MK429190;JM91E1429096;FIF;REFI
KH6560QQ;MH1JBK310PK481195;JBK3E1479411;FIF;NMC
KH2842QJ;MH1JM0114MK200822;JM01E1199624;FIF;REFI
KH5464QJ;0;JM01E1266366;FIF;REFI
KH6182QJ;MH3SG6410MJ054518;G3P2E0073840;FIF;REFI
KH5217QI;MH1JM0110MK142613;JM01E1137939;FIF;REFI
KH4329QJ;MH1JM0214MK269878;JM02E1269446;FIF;REFI
KH2609QG;MH1JM3137LK337545;JM31E3328422;FIF;REFI
DA6436UAU;0;JM31E1593568;FIF;REFI
KH5073QJ;MH1KF4128MK295075;KF41E2300191;FIF;REFI
KH2092QD;MH1KCA213JK030119;KCA2E1028779;FIF;REFI
KH5376QQ;MH1JM0314PK368039;JM03E1368160;FIF;NMC
KH4650QL;MH1JM021XNK616373;JM02E1612414;FIF;NMC
KH3486QK;MH1JM9116MK790462;JM91E1790024;FIF;REFI
KH5266YC;MH1JM3116HK161836;JM31E1165448;FIF;REFI
KH4704NL;0;KB11E1291504;FIF;REFI
KH3087QK;MH1JM8116MK727632;JM81E1729193;FIF;REFI
KH3651NV;MH1JM3113JK930296;JM31E1924178;FIF;REFI
KH6358NU;MH1JM311XJK553434;JM31E1548499;FIF;REFI
KH2307QJ;MH1JM0113MK190123;JM01E1188253;FIF;REFI
KH6058Q;MH1JM5117JK061522;JM51E1061544;FIF;REFI
KH6553QC;MH1JM5117KK200923;JM51E1200774;FIF;REFI
KH4337LS;MH1KC8217GK088462;KC82E1089774;FIF;REFI
KH3444NW;MH1JFZ215KK704516;JFZ2E1703034;FIF;REFI
KH4891YH;MH1JM1120KK031930;JM11E2014933;FIF;REFI
KH3096NM;MH1KC0217MK161102;KC02E1160520;FIF;REFI
KH3957LR;MH3RG1810GK248963;G3E7E0250132;FIF;REFI
KH2913YG;0;KB21E1074734;FIF;REFI
KH6151QL;MH1JBK319NK408565;JBK3E1406720;FIF;NMC
KH4181LV;MH1JM3113HK455176;JM31E1457698;FIF;REFI
KH3289QC;MH1JM3126KK384684;JM31E2380300;FIF;REFI
KH4837PI;MH1JM7118KK030440;JM71E1030285;FIF;REFI
KH2545LW;MH1KB2119JK061286;KB21E1056289;FIF;REFI
KH5369QJ;MH1KCD217MK002331;KCD2E1002400;FIF;REFI
KH2084QM;MH1JM8110NK952968;JM81E1954652;FIF;REFI
KH3418QE;MH3SG4610KJ238932;G3J1E0407027;FIF;REFI
KH6268LW;MH1JM2117JK874891;JM21E1854041;FIF;REFI
KH5513QG;MH1JM3137LK515034;JM31E3512647;FIF;REFI
KH2978LW;MH1KC9117JK166382;KC91E1160171;FIF;REFI
KH2985QE;MH1KC0118KK022661;KC01E1023092;FIF;REFI
KH6679QG;MH1JM3136LK577802;JM31E3572814;FIF;REFI
KH6284QC;MH3SE88H0KJ044345;E3R2E2298710;FIF;REFI
KH5211LU;MH1KC5219HK352846;KC52E1349491;FIF;REFI
KH2789QL;MH1KB1116MK305801;KB11E1305401;FIF;NMC
KH5791QI;MH1JBP11XMK821349;JBP1E1821277;FIF;REFI
KH3995QC;MH1KB2111JK079572;KB21E1079698;FIF;REFI
KH3310QC;MH1KF4116JK315035;KF41E1315897;FIF;REFI
KH6603QG;MH1JM3136LK482107;JM31E3477668;FIF;REFI
KH4129QP;MH1JM0313PK212381;JM03E1212346;FIF;NMC
KH3308QC;MH1KCA215JK023852;KCA2E1022735;FIF;REFI
KH5872QB;MH1KB1113JK182468;KB11E1182236;FIF;REFI
KH2483QK;MH1JM9113MK715346;JM91E1715010;FIF;REFI
KH4585QK;MH1KF4126MK361512;KF41E2365529;FIF;REFI
KH5256QM;0;E3R2E3165090;FIF;REFI
KH5407QD;MH3SE88F0KJ039719;E3W6E0185522;FIF;REFI
KH4542LU;MH1JFE213HK120978;JFZ2E1125836;FIF;REFI
KH2267QE;MH1JM5117KK352118;JM51E1351760;FIF;REFI
KH5338Q;MH1KB1115JK164473;KB11E1164478;FIF;REFI
KH6572QH;MH1JBP111LK812392;JBP1E1811910;FIF;REFI
KH5822QD;MH1KC021XKK065235;KC02E1065691;FIF;REFI
KH6191LS;MH1KB1119HK105517;KB11E1104633;FIF;REFI
KH5144QJ;MH1JM911XMK646056;JM91E1645555;FIF;REFI
KH6631QC;MH1JFZ210KK543007;JFZ2E1543009;FIF;REFI
KH4326LN;MH1KC4114FK401119;KC41E1389455;FIF;REFI
KH6754QL;0;E3R5E0327782;FIF;REFI
KH2780LL;MH1KC5219EK139715;KC52E1137786;FIF;REFI
KH3185Q;MH3SEE410JJ023057;E3R2E1759441;FIF;REFI
KH4804QP;MH1JMA118PK075592;JMA1E1076176;FIF;NMC
KH3818QM;MH1JBP117NK900849;JBP1E1901103;FIF;REFI
KH2643NO;MH1KF0117PK497183;KF01E1497258;FIF;NMC
KH6155QK;MH1JM0116MK407745;JM01E1406951;FIF;REFI
KH3442YQ;MH1JBK319NK401650;JBK3E1399957;FIF;REFI
KH6087QL;MH1JM0213NK667987;JM02E1668118;FIF;REFI
KH3440QJ;MH1JBP113MK833570;JBP1E1833361;FIF;NMC
KH5911LN;0;KF11E1133275;FIF;REFI
KH5655QJ;MH1KB2215MK021449;KB22E1021306;FIF;NMC
KH5712QI;MH1JM0110MK181914;JM01E1181040;FIF;REFI
KH6266QB;MH1KC021XJK042570;KC02E1042769;FIF;REFI
KH3661QF;MH1JBP112KK766053;JBP1E1765942;FIF;REFI
KH2989QI;0;JBK3E1355181;FIF;REFI
